ip_address,correlated_partners_count,mean_correlation_score,max_correlation_score,is_correlated_attacker
103.149.148.94,231,0.7054,0.8627,1
103.149.178.61,177,0.7355,0.8921,1
103.149.207.2,162,0.7385,0.9084,1
103.149.55.170,230,0.7174,0.9247,1
103.15.85.54,251,0.7096,0.8819,1
103.150.17.75,117,0.7507,0.9629,1
103.150.83.197,101,0.7515,0.949,1
103.151.11.248,180,0.7371,0.8777,1
103.151.131.143,166,0.7354,0.9541,1
103.152.137.243,116,0.7507,0.9681,1
103.152.138.5,100,0.7431,0.9401,1
103.152.167.19,209,0.7358,0.9317,1
103.152.193.4,184,0.7145,0.8844,1
103.152.210.212,196,0.7107,0.9094,1
103.152.243.72,181,0.7354,0.8637,1
103.152.25.211,203,0.7142,0.8384,1
103.153.158.189,194,0.7299,0.8991,1
103.153.181.18,182,0.7314,0.8704,1
103.153.182.199,230,0.7181,0.8854,1
103.153.207.164,162,0.7366,0.9048,1
103.153.211.251,197,0.73,0.9041,1
103.153.46.248,171,0.7417,0.9172,1
103.154.140.55,147,0.7465,0.9395,1
103.154.206.248,207,0.7211,0.9116,1
103.154.224.169,166,0.7406,0.8947,1
103.154.67.16,171,0.7302,0.9778,1
103.155.124.181,210,0.7294,0.9117,1
103.155.16.72,234,0.7042,0.8645,1
103.155.202.88,121,0.7483,0.8675,1
103.156.153.138,151,0.7318,0.8946,1
103.156.187.65,173,0.7377,0.9153,1
103.156.192.150,224,0.7146,0.897,1
103.156.238.147,225,0.7281,0.8828,1
103.156.63.44,192,0.7309,0.9168,1
103.157.130.24,258,0.718,0.8992,1
103.157.140.36,227,0.7148,0.8866,1
103.157.195.80,166,0.7279,0.9013,1
103.157.215.155,203,0.7274,0.8931,1
103.157.249.142,133,0.7434,0.9845,1
103.158.11.35,214,0.7103,0.9193,1
103.158.224.246,154,0.7201,0.9188,1
103.158.80.157,126,0.7477,0.9761,1
103.159.232.170,238,0.7115,0.9166,1
103.159.241.229,215,0.7182,0.8382,1
103.16.120.161,167,0.7241,0.8802,1
103.16.185.152,106,0.7568,0.8839,1
103.16.250.117,114,0.7402,0.9462,1
103.16.74.125,124,0.7539,0.9768,1
103.161.101.161,246,0.721,0.9247,1
103.161.122.215,157,0.7443,0.8519,1
103.161.149.84,232,0.7304,0.8656,1
103.161.162.215,129,0.7458,0.9089,1
103.161.243.39,196,0.7309,0.9073,1
103.162.119.84,246,0.724,0.8708,1
103.162.147.202,174,0.7427,0.8948,1
103.162.168.7,206,0.7315,0.9703,1
103.162.169.229,165,0.7125,0.9248,1
103.162.198.210,136,0.7239,0.9135,1
103.162.240.211,209,0.729,0.9349,1
103.163.154.2,227,0.7279,0.9821,1
103.163.164.32,161,0.7156,0.8699,1
103.164.2.148,230,0.7232,0.8693,1
103.164.238.3,152,0.7287,0.8612,1
103.164.41.203,103,0.7506,0.9753,1
103.165.146.157,179,0.7415,0.8668,1
103.165.226.127,175,0.7288,0.9174,1
103.166.117.46,217,0.7189,0.9576,1
103.166.139.148,215,0.7333,0.9393,1
103.166.158.69,158,0.715,0.8191,1
103.166.232.44,155,0.7378,0.9397,1
103.166.241.191,222,0.7188,0.9344,1
103.166.253.131,140,0.745,0.9559,1
103.167.107.106,147,0.7446,0.855,1
103.167.145.128,174,0.7207,0.9265,1
103.167.67.234,141,0.746,0.8728,1
103.167.72.71,206,0.7302,0.8769,1
103.167.92.80,201,0.7163,0.8491,1
103.168.11.94,219,0.7269,0.9211,1
103.168.12.63,113,0.7494,0.8551,1
103.168.238.38,230,0.7237,0.8858,1
103.168.70.14,207,0.7234,0.8217,1
103.168.93.221,217,0.7274,0.9104,1
103.169.144.132,248,0.7046,0.8572,1
103.17.121.232,123,0.7495,0.9119,1
103.17.125.132,125,0.7431,0.9765,1
103.17.214.45,229,0.7259,0.8828,1
103.170.118.229,236,0.7096,0.8225,1
103.170.137.216,118,0.7313,0.9324,1
103.170.176.59,207,0.7279,0.9483,1
103.171.122.149,235,0.7255,0.9335,1
103.171.136.253,221,0.7226,0.9778,1
103.171.157.97,230,0.7311,0.8933,1
103.171.246.166,105,0.7383,0.8469,1
103.171.247.13,127,0.7441,0.9086,1
103.171.92.250,193,0.7334,0.9509,1
103.172.139.205,169,0.7341,0.924,1
103.172.200.162,131,0.732,0.8464,1
103.172.93.22,141,0.7374,0.9026,1
103.173.148.92,223,0.7178,0.8701,1
103.173.229.54,169,0.7337,0.8727,1
103.173.239.190,183,0.7268,0.9552,1
103.173.91.245,193,0.7263,0.8758,1
103.174.207.107,130,0.7374,0.9181,1
103.174.77.10,176,0.7368,0.8998,1
103.174.79.128,132,0.748,0.9098,1
103.175.170.16,128,0.7514,0.903,1
103.175.52.46,190,0.7175,0.8331,1
103.175.94.73,261,0.7262,0.9242,1
103.176.147.51,162,0.7418,0.8711,1
103.176.152.228,140,0.7463,0.8813,1
103.176.233.183,214,0.7323,0.8792,1
103.177.164.1,179,0.7293,0.9691,1
103.177.171.134,139,0.7487,0.8684,1
103.178.122.117,121,0.7479,0.9227,1
103.178.254.75,208,0.733,0.958,1
103.179.178.180,250,0.7224,0.8864,1
103.179.70.170,183,0.7379,0.8572,1
103.18.19.19,209,0.7117,0.8758,1
103.18.251.10,152,0.7329,0.9358,1
103.18.7.159,125,0.7478,0.8905,1
103.18.70.106,93,0.758,0.9147,1
103.180.110.227,173,0.7425,0.9151,1
103.181.20.176,179,0.7379,0.893,1
103.181.253.52,156,0.7448,0.895,1
103.181.31.70,184,0.7297,0.9056,1
103.181.5.97,191,0.7297,0.9182,1
103.181.79.42,163,0.7416,0.904,1
103.182.118.180,98,0.7538,0.9324,1
103.182.13.28,213,0.7239,0.884,1
103.182.188.101,168,0.7234,0.8936,1
103.182.192.62,143,0.7293,0.952,1
103.182.73.157,214,0.7275,0.9152,1
103.183.103.84,103,0.7542,0.9826,1
103.183.157.224,137,0.742,0.9089,1
103.183.230.84,118,0.744,0.9358,1
103.184.225.82,183,0.7264,0.8801,1
103.184.245.11,203,0.7256,0.8659,1
103.185.165.182,146,0.7355,0.9236,1
103.185.205.52,252,0.7084,0.958,1
103.185.21.159,174,0.7325,0.848,1
103.186.155.240,167,0.7361,0.9563,1
103.186.180.115,217,0.7276,0.9311,1
103.186.181.231,258,0.72,0.9576,1
103.186.210.200,172,0.7303,0.8536,1
103.186.92.125,109,0.751,0.9173,1
103.187.152.111,238,0.7088,0.86,1
103.187.188.105,189,0.7321,0.8925,1
103.187.206.29,109,0.7572,0.9963,1
103.187.221.71,175,0.7341,0.8881,1
103.188.140.35,94,0.738,0.9541,1
103.188.34.196,224,0.727,0.8721,1
103.188.48.65,196,0.7302,0.9615,1
103.189.148.210,208,0.7309,0.887,1
103.189.167.34,157,0.743,0.9994,1
103.189.235.171,137,0.7184,0.8637,1
103.189.54.193,185,0.7089,0.8121,1
103.189.61.125,201,0.7313,0.9694,1
103.189.85.232,178,0.7445,0.9409,1
103.19.118.100,114,0.7619,0.9554,1
103.19.153.47,117,0.7497,0.9604,1
103.19.189.37,136,0.7435,0.9874,1
103.190.100.122,231,0.722,0.9098,1
103.190.118.220,162,0.7302,0.8584,1
103.190.153.229,115,0.7324,0.9008,1
103.190.163.1,144,0.7253,0.9353,1
103.190.202.10,225,0.7248,0.8747,1
103.190.206.73,157,0.7354,0.8885,1
103.191.246.31,149,0.7386,0.9236,1
103.192.147.215,232,0.7184,0.8612,1
103.192.195.172,195,0.7277,0.8918,1
103.192.222.134,218,0.729,0.9497,1
103.192.230.52,205,0.728,0.8911,1
103.192.6.11,214,0.7176,0.8739,1
103.193.128.157,140,0.7307,0.881,1
103.193.67.27,169,0.739,0.888,1
103.194.11.104,212,0.7122,0.8398,1
103.194.31.48,220,0.7227,0.8424,1
103.194.81.101,205,0.713,0.9604,1
103.195.146.158,217,0.7215,0.8837,1
103.195.174.81,137,0.7555,0.9652,1
103.195.84.203,121,0.7503,0.883,1
103.196.110.189,172,0.7289,0.8697,1
103.196.197.247,132,0.7371,0.9419,1
103.196.200.208,231,0.717,0.8987,1
103.196.203.250,118,0.7443,0.9467,1
103.197.135.252,147,0.7313,0.8679,1
103.197.173.151,236,0.7201,0.9621,1
103.197.207.148,238,0.7223,0.9413,1
103.197.216.89,140,0.737,0.8828,1
103.197.224.135,191,0.7352,0.9236,1
103.197.32.24,193,0.7333,0.8998,1
103.197.85.108,187,0.7331,0.8918,1
103.198.11.143,173,0.7321,0.8789,1
103.198.212.98,204,0.7328,0.9372,1
103.198.241.193,231,0.7251,0.9048,1
103.199.138.55,142,0.7435,0.9554,1
103.199.14.63,149,0.7445,0.9184,1
103.199.170.246,137,0.7434,0.9321,1
103.199.29.155,129,0.736,0.9667,1
103.199.39.169,153,0.7393,0.9266,1
103.20.225.63,156,0.7336,0.8816,1
103.200.15.214,171,0.7429,0.9401,1
103.200.195.58,157,0.7297,0.8536,1
103.200.80.6,194,0.7201,0.8534,1
103.201.168.218,197,0.7322,0.8441,1
103.201.28.197,211,0.7122,0.876,1
103.202.106.198,101,0.748,0.9113,1
103.202.237.137,192,0.7266,0.9198,1
103.202.67.141,131,0.7534,0.919,1
103.202.79.181,124,0.7344,0.9449,1
103.203.210.30,175,0.7378,0.8562,1
103.203.53.17,165,0.723,0.9285,1
103.204.110.216,213,0.7238,0.8425,1
103.204.197.75,173,0.7327,0.8984,1
103.204.253.139,144,0.7443,0.9552,1
103.205.231.166,156,0.739,0.9043,1
103.205.249.4,132,0.7439,0.9778,1
103.205.82.226,219,0.7181,0.8485,1
103.206.110.178,220,0.7173,0.9007,1
103.206.120.121,164,0.7429,0.8965,1
103.206.183.14,147,0.7392,0.8674,1
103.207.126.123,231,0.7134,0.8706,1
103.207.161.169,256,0.7003,0.8792,1
103.207.38.168,174,0.6999,0.8445,1
103.207.50.134,199,0.7327,0.9168,1
103.207.79.44,190,0.7202,0.8807,1
103.207.83.66,112,0.7647,0.8827,1
103.208.11.156,224,0.7174,0.9206,1
103.208.115.5,198,0.7187,0.9727,1
103.208.212.74,196,0.7295,0.8786,1
103.209.123.35,126,0.7493,0.9102,1
103.209.41.5,217,0.7244,0.8854,1
103.209.72.120,120,0.7578,0.9413,1
103.21.11.254,225,0.7257,0.9647,1
103.21.152.45,110,0.7341,0.9211,1
103.21.27.190,149,0.7467,0.9348,1
103.21.86.90,162,0.7322,0.8995,1
103.210.10.200,184,0.7304,0.8687,1
103.210.251.112,179,0.7364,0.994,1
103.210.78.90,146,0.7449,0.929,1
103.211.101.38,146,0.7383,0.9629,1
103.211.179.155,217,0.7235,0.8858,1
103.211.18.139,184,0.7306,0.8779,1
103.211.253.181,144,0.7422,0.9176,1
103.212.78.137,196,0.7323,0.9507,1
103.213.164.244,102,0.7561,0.9558,1
103.213.28.84,148,0.7406,0.9751,1
103.213.31.189,217,0.7184,0.9808,1
103.213.42.184,231,0.7204,0.8768,1
103.213.54.202,254,0.7247,0.9415,1
103.213.55.196,108,0.7491,0.9609,1
103.214.10.166,233,0.7209,0.942,1
103.214.124.232,199,0.7366,0.9335,1
103.214.158.57,126,0.7474,0.879,1
103.214.76.75,240,0.7247,0.9056,1
103.215.114.160,169,0.7303,0.9073,1
103.216.203.198,201,0.7321,0.9483,1
103.217.1.194,228,0.6947,0.8536,1
103.217.116.248,139,0.7439,0.9461,1
103.217.137.21,222,0.7312,0.9559,1
103.217.189.160,200,0.7239,0.9532,1
103.217.205.179,111,0.7626,0.8955,1
103.218.106.238,148,0.7404,0.9147,1
103.218.254.8,209,0.7221,0.8587,1
103.218.68.46,219,0.72,0.8868,1
103.219.112.107,215,0.7297,0.9392,1
103.219.210.28,192,0.728,0.8842,1
103.22.141.103,201,0.7241,0.9231,1
103.22.232.79,158,0.7355,0.9515,1
103.220.204.25,240,0.7256,0.8985,1
103.220.242.177,169,0.7415,0.8556,1
103.220.26.116,170,0.7368,0.9148,1
103.220.71.236,210,0.7294,0.8926,1
103.221.231.177,213,0.7329,0.9056,1
103.222.166.116,197,0.7311,0.8608,1
103.222.18.4,216,0.7285,0.976,1
103.222.244.78,212,0.718,0.8925,1
103.223.152.17,110,0.7437,0.9689,1
103.223.252.189,221,0.7258,0.9863,1
103.223.56.244,183,0.7293,0.8516,1
103.225.107.40,134,0.7423,0.9316,1
103.225.237.93,137,0.7495,0.8986,1
103.226.111.157,134,0.7459,0.9394,1
103.227.153.224,158,0.7338,0.9021,1
103.227.54.205,234,0.7298,0.8868,1
103.227.82.67,138,0.7536,0.9401,1
103.228.22.29,166,0.741,0.8906,1
103.228.234.169,170,0.7366,0.9069,1
103.228.246.88,202,0.7261,0.8671,1
103.228.59.23,145,0.7344,0.886,1
103.228.76.16,206,0.7278,0.8686,1
103.228.9.171,218,0.7317,0.8974,1
103.229.252.193,104,0.7551,0.9395,1
103.229.66.4,238,0.7196,0.934,1
103.229.81.182,200,0.7247,0.896,1
103.23.1.181,134,0.7463,0.9703,1
103.23.165.68,239,0.7191,0.8984,1
103.23.177.133,250,0.7165,0.8748,1
103.23.228.112,140,0.7437,0.9436,1
103.23.232.88,156,0.7319,0.9116,1
103.23.237.138,173,0.7263,0.8791,1
103.23.43.119,150,0.7437,0.9184,1
103.230.117.229,174,0.7324,0.8828,1
103.230.161.19,253,0.7207,0.9327,1
103.230.36.80,142,0.7389,0.8977,1
103.230.39.42,187,0.7203,0.9601,1
103.230.9.88,121,0.7172,0.9615,1
103.231.118.228,124,0.7397,0.9639,1
103.231.138.230,200,0.7391,0.9397,1
103.232.112.4,193,0.7399,0.9381,1
103.232.198.59,144,0.7437,0.9174,1
103.232.214.210,109,0.7277,0.9013,1
103.232.224.138,152,0.7469,0.9131,1
103.232.38.46,194,0.7245,0.8614,1
103.232.52.97,171,0.7436,0.9243,1
103.233.181.104,223,0.7204,0.8419,1
103.233.64.64,179,0.7347,0.895,1
103.234.100.228,230,0.7178,0.8697,1
103.235.117.24,206,0.727,0.8592,1
103.235.125.21,187,0.7237,0.9228,1
103.235.84.117,142,0.7343,0.8559,1
103.235.86.189,185,0.7164,0.8364,1
103.236.167.99,155,0.7339,0.8943,1
103.237.12.27,135,0.7453,0.9309,1
103.237.14.29,187,0.7344,0.9606,1
103.237.150.64,121,0.7584,0.8998,1
103.237.157.23,218,0.7206,0.8704,1
103.237.195.117,215,0.7277,0.9316,1
103.237.204.91,108,0.7547,0.9236,1
103.238.57.19,223,0.7081,0.8409,1
103.238.87.139,204,0.7323,0.8979,1
103.239.101.169,188,0.7235,0.8484,1
103.239.128.39,154,0.7255,0.8917,1
103.239.28.162,173,0.7354,0.8661,1
103.24.236.198,196,0.7283,0.9317,1
103.24.87.202,205,0.7178,0.8561,1
103.241.121.147,128,0.7472,0.9284,1
103.241.171.198,131,0.7585,0.9401,1
103.241.194.163,168,0.7418,0.9857,1
103.241.37.119,135,0.7139,0.9691,1
103.241.81.141,135,0.7498,0.994,1
103.242.173.94,248,0.7098,0.8509,1
103.242.25.153,209,0.719,0.8739,1
103.243.122.128,238,0.723,0.9166,1
103.243.147.230,230,0.7148,0.9587,1
103.243.174.78,124,0.7425,0.9306,1
103.244.89.254,121,0.7341,0.9325,1
103.245.167.220,125,0.7426,0.9173,1
103.245.179.120,168,0.7391,0.9563,1
103.245.242.240,232,0.7202,0.9633,1
103.246.12.14,134,0.729,0.9324,1
103.246.148.23,222,0.7256,0.893,1
103.246.153.192,127,0.7448,0.8957,1
103.246.194.196,120,0.7573,0.9407,1
103.246.210.60,154,0.7387,0.976,1
103.246.70.244,231,0.7071,0.8645,1
103.247.191.66,240,0.7157,0.8774,1
103.247.23.181,162,0.7459,0.8805,1
103.247.52.157,120,0.7381,0.8842,1
103.248.10.171,223,0.7053,0.9127,1
103.248.109.160,128,0.7457,0.9168,1
103.248.12.176,181,0.7302,0.8747,1
103.248.145.235,148,0.7422,0.9691,1
103.248.15.132,139,0.7483,0.8863,1
103.248.223.31,177,0.7297,0.9368,1
103.249.20.164,114,0.7367,0.8729,1
103.249.211.229,134,0.7357,0.8946,1
103.25.161.66,226,0.725,0.9051,1
103.25.67.245,222,0.7273,0.9043,1
103.250.133.174,103,0.7696,0.976,1
103.26.203.139,280,0.7192,0.8917,1
103.26.206.52,164,0.7314,0.9359,1
103.26.249.39,99,0.7561,0.9348,1
103.28.166.5,220,0.7191,0.9248,1
103.28.69.199,197,0.7245,0.8961,1
103.28.80.157,149,0.7152,0.964,1
103.29.190.239,207,0.6955,0.8343,1
103.29.218.201,138,0.7498,0.9084,1
103.30.216.118,252,0.7203,0.8507,1
103.30.37.187,208,0.7347,0.9787,1
103.31.227.162,116,0.7591,0.8987,1
103.31.248.38,223,0.7116,0.8987,1
103.31.33.130,193,0.7343,0.9645,1
103.32.124.186,195,0.7321,0.9629,1
103.32.128.225,129,0.7463,0.8761,1
103.32.13.28,128,0.7404,0.9685,1
103.32.150.3,161,0.7376,0.9644,1
103.32.161.212,139,0.7411,0.8668,1
103.32.220.155,228,0.7303,0.9677,1
103.32.86.120,178,0.734,0.9372,1
103.33.15.241,173,0.7348,0.8987,1
103.33.185.129,200,0.7245,0.9266,1
103.33.197.77,165,0.7288,0.8328,1
103.33.209.206,210,0.7345,0.9702,1
103.33.5.123,135,0.7373,0.9311,1
103.33.56.210,198,0.7311,0.8991,1
103.33.94.137,206,0.7052,0.8583,1
103.34.117.80,209,0.7325,0.9359,1
103.34.235.137,122,0.759,0.9798,1
103.35.203.217,147,0.7504,0.9702,1
103.35.211.252,226,0.7084,0.8727,1
103.35.232.81,112,0.7586,0.97,1
103.36.176.115,139,0.7455,0.9042,1
103.36.43.203,203,0.7237,0.8546,1
103.36.53.139,171,0.7165,0.8577,1
103.37.147.187,132,0.7528,0.9295,1
103.37.176.209,155,0.7319,0.8973,1
103.37.234.114,168,0.7408,0.9765,1
103.38.172.106,126,0.7526,0.9919,1
103.38.47.200,133,0.7291,0.9278,1
103.39.128.153,127,0.7296,0.8961,1
103.39.167.123,129,0.7493,0.9501,1
103.39.181.116,159,0.7443,0.9242,1
103.39.19.230,151,0.7385,0.9396,1
103.39.2.80,164,0.7211,0.8863,1
103.39.222.201,198,0.7155,0.8715,1
103.39.4.246,116,0.7581,0.9918,1
103.40.250.176,124,0.7235,0.8119,1
103.40.55.207,234,0.7247,0.9303,1
103.42.131.27,201,0.7286,0.9368,1
103.42.35.3,208,0.7294,0.8817,1
103.42.9.178,182,0.7407,0.9234,1
103.43.246.52,108,0.7523,0.8789,1
103.43.53.168,189,0.732,0.9565,1
103.43.53.186,210,0.7236,0.8979,1
103.43.87.22,146,0.7451,0.9106,1
103.43.97.169,183,0.7392,0.9526,1
103.44.124.144,185,0.7183,0.8819,1
103.44.124.40,116,0.7537,0.8657,1
103.44.22.36,201,0.7277,0.9406,1
103.44.29.219,217,0.7331,0.9519,1
103.45.10.50,106,0.7483,0.8756,1
103.45.149.139,110,0.7301,0.8505,1
103.45.228.149,184,0.7345,0.8822,1
103.45.23.187,134,0.7509,0.9717,1
103.45.42.50,189,0.7367,0.9765,1
103.45.68.94,202,0.7245,0.8811,1
103.46.178.179,216,0.7226,0.8643,1
103.46.185.227,193,0.7346,0.8872,1
103.46.197.224,166,0.748,0.9407,1
103.46.221.230,172,0.7358,0.9403,1
103.47.113.12,230,0.7183,0.9483,1
103.47.15.168,129,0.7568,0.9962,1
103.47.170.39,113,0.7515,0.8694,1
103.47.187.8,154,0.7334,0.8756,1
103.47.56.238,133,0.7447,0.9211,1
103.48.176.217,222,0.7138,0.8711,1
103.48.190.149,110,0.7412,0.9169,1
103.48.41.71,108,0.7088,0.8901,1
103.49.110.249,165,0.7361,0.9581,1
103.49.194.187,111,0.757,0.9609,1
103.49.215.127,222,0.7128,0.8667,1
103.49.25.10,107,0.7562,0.9324,1
103.50.137.154,228,0.7323,0.9482,1
103.50.82.18,114,0.7563,0.9913,1
103.50.97.141,240,0.7179,0.8965,1
103.51.200.19,129,0.7274,0.8869,1
103.52.10.178,137,0.7496,0.8916,1
103.52.147.156,228,0.7206,0.9417,1
103.52.54.148,199,0.7259,0.8926,1
103.53.147.14,206,0.7278,0.9236,1
