node_id,node_type,label,risk_score,classification,ip_count,total_events,targets_count,primary_ua,primary_endpoint,attempts,failure_ratio,country,user_agent
103.114.114.21,ip,103.114.114.21,,,,,,,,12.0,1.0,BR,Chrome-120
103.115.196.163,ip,103.115.196.163,,,,,,,,12.0,0.9167,RU,Chrome-120
103.115.220.134,ip,103.115.220.134,,,,,,,,14.0,1.0,NG,Chrome-120
103.115.247.106,ip,103.115.247.106,,,,,,,,7.0,0.8571,NG,Chrome-120
103.115.26.135,ip,103.115.26.135,,,,,,,,11.0,1.0,BR,Chrome-120
103.115.57.191,ip,103.115.57.191,,,,,,,,10.0,0.9,VN,Chrome-120
103.115.62.159,ip,103.115.62.159,,,,,,,,14.0,1.0,ID,Chrome-120
103.115.62.241,ip,103.115.62.241,,,,,,,,6.0,1.0,DE,Chrome-120
103.116.44.179,ip,103.116.44.179,,,,,,,,7.0,1.0,CN,Chrome-120
103.116.46.42,ip,103.116.46.42,,,,,,,,9.0,1.0,NG,Chrome-120
103.116.62.147,ip,103.116.62.147,,,,,,,,9.0,0.8889,DE,Chrome-120
103.117.2.143,ip,103.117.2.143,,,,,,,,12.0,1.0,NG,Chrome-120
103.117.51.192,ip,103.117.51.192,,,,,,,,9.0,1.0,IN,Chrome-120
103.117.79.80,ip,103.117.79.80,,,,,,,,8.0,1.0,UA,Chrome-120
103.118.142.210,ip,103.118.142.210,,,,,,,,6.0,0.5,US,Chrome-120
103.118.94.90,ip,103.118.94.90,,,,,,,,7.0,1.0,NG,Chrome-120
103.119.101.46,ip,103.119.101.46,,,,,,,,9.0,1.0,RU,Chrome-120
103.119.87.208,ip,103.119.87.208,,,,,,,,10.0,0.9,ID,Chrome-120
103.12.173.3,ip,103.12.173.3,,,,,,,,11.0,1.0,RO,Chrome-120
103.12.18.100,ip,103.12.18.100,,,,,,,,10.0,0.9,IN,Chrome-120
103.120.212.186,ip,103.120.212.186,,,,,,,,13.0,1.0,NG,Chrome-120
103.120.233.250,ip,103.120.233.250,,,,,,,,12.0,1.0,CN,Chrome-120
103.120.83.176,ip,103.120.83.176,,,,,,,,13.0,1.0,BR,Chrome-120
103.121.104.217,ip,103.121.104.217,,,,,,,,11.0,1.0,VN,Chrome-120
103.121.184.252,ip,103.121.184.252,,,,,,,,6.0,0.6667,NG,Chrome-120
103.122.18.126,ip,103.122.18.126,,,,,,,,8.0,1.0,RO,Chrome-120
103.122.186.164,ip,103.122.186.164,,,,,,,,6.0,1.0,VN,Chrome-120
103.122.189.49,ip,103.122.189.49,,,,,,,,12.0,0.9167,ID,Chrome-120
103.122.222.158,ip,103.122.222.158,,,,,,,,10.0,0.8,CN,Chrome-120
103.122.63.237,ip,103.122.63.237,,,,,,,,6.0,1.0,IN,Chrome-120
103.123.13.34,ip,103.123.13.34,,,,,,,,14.0,1.0,BR,Chrome-120
103.123.130.7,ip,103.123.130.7,,,,,,,,9.0,1.0,NG,Chrome-120
103.123.239.91,ip,103.123.239.91,,,,,,,,14.0,0.9286,VN,Chrome-120
103.123.46.79,ip,103.123.46.79,,,,,,,,6.0,1.0,CN,Chrome-120
103.124.193.153,ip,103.124.193.153,,,,,,,,13.0,1.0,US,Chrome-120
103.124.246.102,ip,103.124.246.102,,,,,,,,14.0,1.0,VN,Chrome-120
103.124.51.53,ip,103.124.51.53,,,,,,,,6.0,1.0,CN,Chrome-120
103.124.74.161,ip,103.124.74.161,,,,,,,,14.0,1.0,RU,Chrome-120
103.124.95.207,ip,103.124.95.207,,,,,,,,10.0,0.9,ID,Chrome-120
103.124.98.174,ip,103.124.98.174,,,,,,,,9.0,1.0,ID,Chrome-120
103.125.137.75,ip,103.125.137.75,,,,,,,,6.0,1.0,VN,Chrome-120
103.125.7.46,ip,103.125.7.46,,,,,,,,8.0,0.875,VN,Chrome-120
103.125.99.91,ip,103.125.99.91,,,,,,,,8.0,0.875,IN,Chrome-120
103.126.152.230,ip,103.126.152.230,,,,,,,,13.0,0.9231,RU,Chrome-120
103.126.157.44,ip,103.126.157.44,,,,,,,,12.0,1.0,CN,Chrome-120
103.126.192.149,ip,103.126.192.149,,,,,,,,6.0,0.8333,BR,Chrome-120
103.126.212.225,ip,103.126.212.225,,,,,,,,11.0,1.0,VN,Chrome-120
103.126.237.71,ip,103.126.237.71,,,,,,,,14.0,0.9286,RU,Chrome-120
103.127.144.238,ip,103.127.144.238,,,,,,,,14.0,1.0,VN,Chrome-120
103.127.185.50,ip,103.127.185.50,,,,,,,,14.0,1.0,US,Chrome-120
103.127.241.174,ip,103.127.241.174,,,,,,,,11.0,1.0,CN,Chrome-120
103.127.92.40,ip,103.127.92.40,,,,,,,,10.0,1.0,UA,Chrome-120
103.128.103.152,ip,103.128.103.152,,,,,,,,6.0,1.0,VN,Chrome-120
103.128.198.36,ip,103.128.198.36,,,,,,,,12.0,1.0,RO,Chrome-120
103.128.43.109,ip,103.128.43.109,,,,,,,,12.0,1.0,BR,Chrome-120
103.128.72.4,ip,103.128.72.4,,,,,,,,12.0,1.0,RU,Chrome-120
103.129.118.108,ip,103.129.118.108,,,,,,,,14.0,0.9286,RO,Chrome-120
103.129.146.34,ip,103.129.146.34,,,,,,,,14.0,0.8571,DE,Chrome-120
103.129.168.242,ip,103.129.168.242,,,,,,,,6.0,0.6667,NG,Chrome-120
103.13.45.162,ip,103.13.45.162,,,,,,,,12.0,1.0,RU,Chrome-120
103.130.117.132,ip,103.130.117.132,,,,,,,,13.0,0.9231,CN,Chrome-120
103.130.150.125,ip,103.130.150.125,,,,,,,,12.0,1.0,ID,Chrome-120
103.130.183.167,ip,103.130.183.167,,,,,,,,10.0,0.9,IN,Chrome-120
103.130.188.197,ip,103.130.188.197,,,,,,,,12.0,0.9167,NG,Chrome-120
103.130.233.236,ip,103.130.233.236,,,,,,,,9.0,1.0,IN,Chrome-120
103.130.35.32,ip,103.130.35.32,,,,,,,,7.0,1.0,ID,Chrome-120
103.131.147.191,ip,103.131.147.191,,,,,,,,10.0,1.0,NG,Chrome-120
103.131.178.33,ip,103.131.178.33,,,,,,,,10.0,1.0,RU,Chrome-120
103.131.192.243,ip,103.131.192.243,,,,,,,,10.0,1.0,RU,Chrome-120
103.131.29.90,ip,103.131.29.90,,,,,,,,9.0,1.0,NG,Chrome-120
103.132.119.217,ip,103.132.119.217,,,,,,,,11.0,0.9091,RO,Chrome-120
103.132.235.122,ip,103.132.235.122,,,,,,,,11.0,1.0,CN,Chrome-120
103.133.160.187,ip,103.133.160.187,,,,,,,,7.0,0.8571,DE,Chrome-120
103.133.247.177,ip,103.133.247.177,,,,,,,,11.0,0.9091,ID,Chrome-120
103.133.32.146,ip,103.133.32.146,,,,,,,,13.0,0.9231,US,Chrome-120
103.133.45.125,ip,103.133.45.125,,,,,,,,9.0,1.0,BR,Chrome-120
103.133.99.17,ip,103.133.99.17,,,,,,,,8.0,1.0,BR,Chrome-120
103.134.169.112,ip,103.134.169.112,,,,,,,,11.0,0.9091,US,Chrome-120
103.134.222.153,ip,103.134.222.153,,,,,,,,14.0,1.0,BR,Chrome-120
103.134.30.152,ip,103.134.30.152,,,,,,,,6.0,1.0,RU,Chrome-120
103.134.8.17,ip,103.134.8.17,,,,,,,,14.0,0.9286,RU,Chrome-120
103.135.168.5,ip,103.135.168.5,,,,,,,,12.0,1.0,US,Chrome-120
103.135.177.84,ip,103.135.177.84,,,,,,,,10.0,1.0,RU,Chrome-120
103.135.221.56,ip,103.135.221.56,,,,,,,,10.0,0.9,NG,Chrome-120
103.135.28.37,ip,103.135.28.37,,,,,,,,9.0,1.0,RU,Chrome-120
103.136.62.22,ip,103.136.62.22,,,,,,,,11.0,1.0,ID,Chrome-120
103.137.127.207,ip,103.137.127.207,,,,,,,,14.0,0.9286,ID,Chrome-120
103.137.217.188,ip,103.137.217.188,,,,,,,,10.0,0.9,DE,Chrome-120
103.137.219.128,ip,103.137.219.128,,,,,,,,6.0,1.0,DE,Chrome-120
103.138.112.199,ip,103.138.112.199,,,,,,,,9.0,1.0,CN,Chrome-120
103.138.217.155,ip,103.138.217.155,,,,,,,,11.0,1.0,RO,Chrome-120
103.138.40.49,ip,103.138.40.49,,,,,,,,6.0,1.0,CN,Chrome-120
103.138.71.208,ip,103.138.71.208,,,,,,,,12.0,1.0,US,Chrome-120
103.139.57.119,ip,103.139.57.119,,,,,,,,11.0,1.0,RU,Chrome-120
103.139.87.169,ip,103.139.87.169,,,,,,,,10.0,1.0,UA,Chrome-120
103.139.9.109,ip,103.139.9.109,,,,,,,,14.0,1.0,RO,Chrome-120
103.14.10.87,ip,103.14.10.87,,,,,,,,10.0,0.9,US,Chrome-120
103.14.75.223,ip,103.14.75.223,,,,,,,,10.0,0.9,RO,Chrome-120
103.14.89.176,ip,103.14.89.176,,,,,,,,10.0,1.0,ID,Chrome-120
103.140.157.244,ip,103.140.157.244,,,,,,,,10.0,0.9,ID,Chrome-120
103.140.251.182,ip,103.140.251.182,,,,,,,,13.0,0.9231,RU,Chrome-120
103.141.182.241,ip,103.141.182.241,,,,,,,,10.0,1.0,RU,Chrome-120
103.142.138.102,ip,103.142.138.102,,,,,,,,11.0,0.9091,CN,Chrome-120
103.142.21.134,ip,103.142.21.134,,,,,,,,14.0,0.9286,DE,Chrome-120
103.142.35.228,ip,103.142.35.228,,,,,,,,12.0,1.0,VN,Chrome-120
103.143.187.162,ip,103.143.187.162,,,,,,,,8.0,1.0,CN,Chrome-120
103.143.197.169,ip,103.143.197.169,,,,,,,,11.0,1.0,UA,Chrome-120
103.143.28.116,ip,103.143.28.116,,,,,,,,7.0,1.0,CN,Chrome-120
103.143.77.145,ip,103.143.77.145,,,,,,,,10.0,1.0,DE,Chrome-120
103.144.11.82,ip,103.144.11.82,,,,,,,,13.0,0.9231,UA,Chrome-120
103.144.12.66,ip,103.144.12.66,,,,,,,,8.0,1.0,UA,Chrome-120
103.144.148.160,ip,103.144.148.160,,,,,,,,7.0,0.8571,UA,Chrome-120
103.144.165.225,ip,103.144.165.225,,,,,,,,13.0,1.0,US,Chrome-120
103.144.182.99,ip,103.144.182.99,,,,,,,,9.0,0.8889,VN,Chrome-120
103.144.233.35,ip,103.144.233.35,,,,,,,,12.0,1.0,RO,Chrome-120
103.144.54.179,ip,103.144.54.179,,,,,,,,6.0,0.8333,RU,Chrome-120
103.144.64.63,ip,103.144.64.63,,,,,,,,8.0,0.875,BR,Chrome-120
103.145.101.123,ip,103.145.101.123,,,,,,,,13.0,0.9231,NG,Chrome-120
103.145.251.25,ip,103.145.251.25,,,,,,,,6.0,1.0,US,Chrome-120
103.146.200.3,ip,103.146.200.3,,,,,,,,14.0,1.0,NG,Chrome-120
103.146.23.48,ip,103.146.23.48,,,,,,,,6.0,1.0,IN,Chrome-120
103.146.248.214,ip,103.146.248.214,,,,,,,,14.0,1.0,UA,Chrome-120
103.147.240.254,ip,103.147.240.254,,,,,,,,10.0,1.0,CN,Chrome-120
103.148.145.39,ip,103.148.145.39,,,,,,,,13.0,0.9231,DE,Chrome-120
103.148.197.111,ip,103.148.197.111,,,,,,,,12.0,1.0,UA,Chrome-120
103.149.148.94,ip,103.149.148.94,,,,,,,,14.0,0.9286,DE,Chrome-120
103.149.178.61,ip,103.149.178.61,,,,,,,,10.0,1.0,RU,Chrome-120
103.149.207.2,ip,103.149.207.2,,,,,,,,8.0,1.0,NG,Chrome-120
103.149.55.170,ip,103.149.55.170,,,,,,,,13.0,1.0,UA,Chrome-120
103.15.85.54,ip,103.15.85.54,,,,,,,,14.0,0.8571,US,Chrome-120
103.150.17.75,ip,103.150.17.75,,,,,,,,6.0,1.0,RO,Chrome-120
103.150.83.197,ip,103.150.83.197,,,,,,,,6.0,1.0,US,Chrome-120
103.151.11.248,ip,103.151.11.248,,,,,,,,9.0,1.0,UA,Chrome-120
103.151.131.143,ip,103.151.131.143,,,,,,,,10.0,1.0,US,Chrome-120
103.152.137.243,ip,103.152.137.243,,,,,,,,7.0,1.0,NG,Chrome-120
103.152.138.5,ip,103.152.138.5,,,,,,,,6.0,0.8333,RO,Chrome-120
103.152.167.19,ip,103.152.167.19,,,,,,,,11.0,1.0,RU,Chrome-120
103.152.193.4,ip,103.152.193.4,,,,,,,,13.0,0.8462,CN,Chrome-120
103.152.210.212,ip,103.152.210.212,,,,,,,,12.0,0.8333,RO,Chrome-120
103.152.243.72,ip,103.152.243.72,,,,,,,,11.0,1.0,BR,Chrome-120
103.152.25.211,ip,103.152.25.211,,,,,,,,11.0,0.9091,UA,Chrome-120
103.153.158.189,ip,103.153.158.189,,,,,,,,12.0,1.0,IN,Chrome-120
103.153.181.18,ip,103.153.181.18,,,,,,,,11.0,1.0,ID,Chrome-120
103.153.182.199,ip,103.153.182.199,,,,,,,,14.0,0.9286,RO,Chrome-120
103.153.207.164,ip,103.153.207.164,,,,,,,,9.0,1.0,US,Chrome-120
103.153.211.251,ip,103.153.211.251,,,,,,,,11.0,1.0,IN,Chrome-120
103.153.46.248,ip,103.153.46.248,,,,,,,,10.0,1.0,RO,Chrome-120
103.154.140.55,ip,103.154.140.55,,,,,,,,8.0,1.0,BR,Chrome-120
103.154.206.248,ip,103.154.206.248,,,,,,,,12.0,1.0,CN,Chrome-120
103.154.224.169,ip,103.154.224.169,,,,,,,,10.0,1.0,NG,Chrome-120
103.154.67.16,ip,103.154.67.16,,,,,,,,11.0,1.0,NG,Chrome-120
103.155.124.181,ip,103.155.124.181,,,,,,,,12.0,1.0,BR,Chrome-120
103.155.16.72,ip,103.155.16.72,,,,,,,,14.0,0.7857,CN,Chrome-120
103.155.202.88,ip,103.155.202.88,,,,,,,,6.0,1.0,RU,Chrome-120
103.156.153.138,ip,103.156.153.138,,,,,,,,9.0,0.8889,UA,Chrome-120
103.156.187.65,ip,103.156.187.65,,,,,,,,9.0,1.0,DE,Chrome-120
103.156.192.150,ip,103.156.192.150,,,,,,,,13.0,0.9231,RO,Chrome-120
103.156.238.147,ip,103.156.238.147,,,,,,,,12.0,1.0,IN,Chrome-120
103.156.63.44,ip,103.156.63.44,,,,,,,,11.0,1.0,ID,Chrome-120
103.157.130.24,ip,103.157.130.24,,,,,,,,14.0,1.0,VN,Chrome-120
103.157.140.36,ip,103.157.140.36,,,,,,,,13.0,0.8462,UA,Chrome-120
103.157.195.80,ip,103.157.195.80,,,,,,,,9.0,1.0,US,Chrome-120
103.157.215.155,ip,103.157.215.155,,,,,,,,12.0,1.0,VN,Chrome-120
103.157.249.142,ip,103.157.249.142,,,,,,,,8.0,0.875,RO,Chrome-120
103.158.11.35,ip,103.158.11.35,,,,,,,,13.0,0.7692,RU,Chrome-120
103.158.224.246,ip,103.158.224.246,,,,,,,,9.0,0.8889,RU,Chrome-120
103.158.80.157,ip,103.158.80.157,,,,,,,,7.0,1.0,VN,Chrome-120
103.159.232.170,ip,103.159.232.170,,,,,,,,14.0,0.8571,ID,Chrome-120
103.159.241.229,ip,103.159.241.229,,,,,,,,13.0,1.0,UA,Chrome-120
103.16.120.161,ip,103.16.120.161,,,,,,,,9.0,0.8889,NG,Chrome-120
103.16.185.152,ip,103.16.185.152,,,,,,,,6.0,1.0,CN,Chrome-120
103.16.250.117,ip,103.16.250.117,,,,,,,,7.0,1.0,UA,Chrome-120
103.16.74.125,ip,103.16.74.125,,,,,,,,6.0,1.0,RU,Chrome-120
103.161.101.161,ip,103.161.101.161,,,,,,,,14.0,0.9286,CN,Chrome-120
103.161.122.215,ip,103.161.122.215,,,,,,,,8.0,1.0,CN,Chrome-120
103.161.149.84,ip,103.161.149.84,,,,,,,,13.0,1.0,RO,Chrome-120
103.161.162.215,ip,103.161.162.215,,,,,,,,7.0,1.0,UA,Chrome-120
103.161.243.39,ip,103.161.243.39,,,,,,,,11.0,1.0,NG,Chrome-120
103.162.119.84,ip,103.162.119.84,,,,,,,,14.0,1.0,RU,Chrome-120
103.162.147.202,ip,103.162.147.202,,,,,,,,9.0,1.0,UA,Chrome-120
103.162.168.7,ip,103.162.168.7,,,,,,,,12.0,1.0,IN,Chrome-120
103.162.169.229,ip,103.162.169.229,,,,,,,,9.0,1.0,VN,Chrome-120
103.162.198.210,ip,103.162.198.210,,,,,,,,8.0,1.0,IN,Chrome-120
103.162.240.211,ip,103.162.240.211,,,,,,,,11.0,1.0,NG,Chrome-120
103.163.154.2,ip,103.163.154.2,,,,,,,,13.0,1.0,IN,Chrome-120
103.163.164.32,ip,103.163.164.32,,,,,,,,10.0,0.8,ID,Chrome-120
103.164.2.148,ip,103.164.2.148,,,,,,,,14.0,1.0,IN,Chrome-120
103.164.238.3,ip,103.164.238.3,,,,,,,,8.0,0.875,ID,Chrome-120
103.164.41.203,ip,103.164.41.203,,,,,,,,6.0,1.0,RO,Chrome-120
103.165.146.157,ip,103.165.146.157,,,,,,,,9.0,1.0,DE,Chrome-120
103.165.226.127,ip,103.165.226.127,,,,,,,,9.0,1.0,IN,Chrome-120
103.166.117.46,ip,103.166.117.46,,,,,,,,12.0,1.0,NG,Chrome-120
103.166.139.148,ip,103.166.139.148,,,,,,,,11.0,0.9091,US,Chrome-120
103.166.158.69,ip,103.166.158.69,,,,,,,,9.0,0.7778,IN,Chrome-120
103.166.232.44,ip,103.166.232.44,,,,,,,,9.0,0.8889,CN,Chrome-120
103.166.241.191,ip,103.166.241.191,,,,,,,,14.0,1.0,RU,Chrome-120
103.166.253.131,ip,103.166.253.131,,,,,,,,8.0,1.0,VN,Chrome-120
103.167.107.106,ip,103.167.107.106,,,,,,,,8.0,1.0,RU,Chrome-120
103.167.145.128,ip,103.167.145.128,,,,,,,,10.0,0.8,BR,Chrome-120
103.167.67.234,ip,103.167.67.234,,,,,,,,8.0,1.0,NG,Chrome-120
103.167.72.71,ip,103.167.72.71,,,,,,,,13.0,1.0,DE,Chrome-120
103.167.92.80,ip,103.167.92.80,,,,,,,,12.0,0.9167,UA,Chrome-120
103.168.11.94,ip,103.168.11.94,,,,,,,,13.0,1.0,VN,Chrome-120
103.168.12.63,ip,103.168.12.63,,,,,,,,6.0,1.0,IN,Chrome-120
103.168.238.38,ip,103.168.238.38,,,,,,,,13.0,1.0,VN,Chrome-120
103.168.70.14,ip,103.168.70.14,,,,,,,,13.0,1.0,VN,Chrome-120
103.168.93.221,ip,103.168.93.221,,,,,,,,12.0,1.0,RU,Chrome-120
103.169.144.132,ip,103.169.144.132,,,,,,,,14.0,0.8571,CN,Chrome-120
103.17.121.232,ip,103.17.121.232,,,,,,,,7.0,1.0,NG,Chrome-120
103.17.125.132,ip,103.17.125.132,,,,,,,,7.0,1.0,ID,Chrome-120
103.17.214.45,ip,103.17.214.45,,,,,,,,13.0,1.0,ID,Chrome-120
103.170.118.229,ip,103.170.118.229,,,,,,,,13.0,0.8462,VN,Chrome-120
103.170.137.216,ip,103.170.137.216,,,,,,,,7.0,1.0,RU,Chrome-120
103.170.176.59,ip,103.170.176.59,,,,,,,,13.0,1.0,US,Chrome-120
103.171.122.149,ip,103.171.122.149,,,,,,,,12.0,1.0,NG,Chrome-120
103.171.136.253,ip,103.171.136.253,,,,,,,,14.0,1.0,VN,Chrome-120
103.171.157.97,ip,103.171.157.97,,,,,,,,12.0,1.0,CN,Chrome-120
103.171.246.166,ip,103.171.246.166,,,,,,,,6.0,1.0,RU,Chrome-120
103.171.247.13,ip,103.171.247.13,,,,,,,,7.0,1.0,VN,Chrome-120
103.171.92.250,ip,103.171.92.250,,,,,,,,11.0,1.0,UA,Chrome-120
103.172.139.205,ip,103.172.139.205,,,,,,,,10.0,0.9,BR,Chrome-120
103.172.200.162,ip,103.172.200.162,,,,,,,,8.0,0.875,IN,Chrome-120
103.172.93.22,ip,103.172.93.22,,,,,,,,7.0,0.8571,VN,Chrome-120
103.173.148.92,ip,103.173.148.92,,,,,,,,13.0,1.0,VN,Chrome-120
103.173.229.54,ip,103.173.229.54,,,,,,,,10.0,1.0,ID,Chrome-120
103.173.239.190,ip,103.173.239.190,,,,,,,,10.0,1.0,BR,Chrome-120
103.173.91.245,ip,103.173.91.245,,,,,,,,12.0,0.9167,IN,Chrome-120
103.174.207.107,ip,103.174.207.107,,,,,,,,7.0,1.0,ID,Chrome-120
103.174.77.10,ip,103.174.77.10,,,,,,,,9.0,0.8889,VN,Chrome-120
103.174.79.128,ip,103.174.79.128,,,,,,,,7.0,1.0,RO,Chrome-120
103.175.170.16,ip,103.175.170.16,,,,,,,,7.0,1.0,IN,Chrome-120
103.175.52.46,ip,103.175.52.46,,,,,,,,11.0,0.9091,DE,Chrome-120
103.175.94.73,ip,103.175.94.73,,,,,,,,14.0,1.0,IN,Chrome-120
103.176.147.51,ip,103.176.147.51,,,,,,,,9.0,1.0,BR,Chrome-120
103.176.152.228,ip,103.176.152.228,,,,,,,,7.0,1.0,US,Chrome-120
103.176.233.183,ip,103.176.233.183,,,,,,,,11.0,1.0,UA,Chrome-120
103.177.164.1,ip,103.177.164.1,,,,,,,,10.0,0.9,IN,Chrome-120
103.177.171.134,ip,103.177.171.134,,,,,,,,7.0,1.0,US,Chrome-120
103.178.122.117,ip,103.178.122.117,,,,,,,,7.0,1.0,DE,Chrome-120
103.178.254.75,ip,103.178.254.75,,,,,,,,11.0,1.0,ID,Chrome-120
103.179.178.180,ip,103.179.178.180,,,,,,,,14.0,1.0,RU,Chrome-120
103.179.70.170,ip,103.179.70.170,,,,,,,,10.0,1.0,CN,Chrome-120
103.18.19.19,ip,103.18.19.19,,,,,,,,13.0,0.9231,BR,Chrome-120
103.18.251.10,ip,103.18.251.10,,,,,,,,8.0,1.0,RU,Chrome-120
103.18.7.159,ip,103.18.7.159,,,,,,,,7.0,1.0,RU,Chrome-120
103.18.70.106,ip,103.18.70.106,,,,,,,,6.0,1.0,RO,Chrome-120
103.180.110.227,ip,103.180.110.227,,,,,,,,9.0,1.0,BR,Chrome-120
103.181.20.176,ip,103.181.20.176,,,,,,,,10.0,1.0,CN,Chrome-120
103.181.253.52,ip,103.181.253.52,,,,,,,,8.0,1.0,NG,Chrome-120
103.181.31.70,ip,103.181.31.70,,,,,,,,10.0,0.9,CN,Chrome-120
103.181.5.97,ip,103.181.5.97,,,,,,,,12.0,1.0,IN,Chrome-120
103.181.79.42,ip,103.181.79.42,,,,,,,,9.0,1.0,DE,Chrome-120
103.182.118.180,ip,103.182.118.180,,,,,,,,6.0,1.0,DE,Chrome-120
