ip_1,ip_2,shared_targets_count,jaccard_overlap,timing_similarity,ua_similarity,endpoint_similarity,failure_similarity,composite_score
103.45.42.50,103.80.37.194,3,0.2143,0.8927,1.0,1.0,0.9861,0.9765
185.163.158.177,185.57.91.73,3,0.1875,0.9901,1.0,1.0,1.0,0.9761
103.158.80.157,103.56.227.157,3,0.2308,0.8805,1.0,1.0,1.0,0.9761
103.222.18.4,103.250.133.174,3,0.1875,0.9896,1.0,1.0,1.0,0.976
103.116.46.42,103.246.210.60,3,0.2143,0.9738,1.0,1.0,0.875,0.976
185.197.210.31,185.238.129.200,4,0.2667,0.9611,1.0,1.0,0.8889,0.9756
103.138.40.49,103.77.38.136,2,0.2,0.8777,1.0,1.0,1.0,0.9755
103.164.41.203,103.56.205.136,3,0.2,0.9391,1.0,1.0,0.9167,0.9753
103.157.249.142,103.213.28.84,3,0.2,0.9694,1.0,1.0,0.875,0.9751
185.61.61.30,185.70.87.52,2,0.2,0.8754,1.0,1.0,1.0,0.9751
185.149.85.166,185.209.140.250,2,0.2,0.8714,1.0,1.0,1.0,0.9743
185.190.38.205,185.54.92.42,3,0.2,0.9462,1.0,1.0,0.9,0.9742
103.70.111.180,103.96.252.97,3,0.1875,0.98,1.0,1.0,1.0,0.9741
185.163.182.9,185.171.16.121,2,0.2222,0.9956,1.0,1.0,0.8333,0.9741
185.59.2.249,185.86.42.149,3,0.2308,0.9444,1.0,1.0,0.9,0.9739
185.125.149.88,185.97.8.191,3,0.3,0.9519,1.0,1.0,0.8889,0.9737
185.115.132.188,185.126.36.214,2,0.2,0.8679,1.0,1.0,1.0,0.9736
185.146.249.18,185.36.49.229,3,0.1875,0.9759,1.0,1.0,1.0,0.9733
185.237.115.174,185.239.18.230,3,0.3,0.8664,1.0,1.0,1.0,0.9733
185.126.36.214,185.26.103.159,2,0.2,0.8659,1.0,1.0,1.0,0.9732
185.145.82.155,185.39.132.50,2,0.2,0.9595,1.0,1.0,0.875,0.9732
185.153.166.86,185.209.140.250,3,0.375,0.8662,1.0,1.0,1.0,0.9732
103.208.115.5,103.97.237.124,4,0.25,0.9262,1.0,1.0,0.9167,0.9727
185.190.38.205,185.36.49.229,4,0.2667,0.9374,1.0,1.0,0.9,0.9725
185.161.30.79,185.34.233.171,2,0.2,0.8619,1.0,1.0,1.0,0.9724
185.147.60.161,185.86.59.124,3,0.2143,0.8609,1.0,1.0,1.0,0.9722
185.208.14.213,185.237.182.122,3,0.1875,0.9693,1.0,1.0,1.0,0.972
185.163.190.119,185.172.217.254,3,0.2143,0.8602,1.0,1.0,1.0,0.972
185.72.134.244,185.77.7.203,4,0.3333,0.9535,1.0,1.0,0.875,0.9719
185.125.149.88,185.71.48.214,3,0.1875,0.9774,1.0,1.0,0.9889,0.9719
103.104.29.149,103.144.54.179,2,0.2,0.984,1.0,1.0,0.8333,0.9718
185.206.157.62,185.208.80.176,3,0.2,0.8587,1.0,1.0,1.0,0.9717
103.45.23.187,103.92.95.230,3,0.1875,0.9677,1.0,1.0,1.0,0.9717
185.138.225.178,185.161.30.79,2,0.2,0.8576,1.0,1.0,1.0,0.9715
185.219.125.106,185.77.7.203,2,0.2,0.9498,1.0,1.0,0.875,0.9712
185.133.190.107,185.203.219.110,3,0.2143,0.8559,1.0,1.0,1.0,0.9712
185.214.253.81,185.42.2.105,4,0.2857,0.931,1.0,1.0,0.9,0.9712
185.112.102.38,185.197.208.251,2,0.25,0.9808,1.0,1.0,0.8333,0.9712
185.180.6.76,185.190.155.244,3,0.2,0.9487,1.0,1.0,0.875,0.971
185.114.48.53,185.54.92.42,3,0.2,0.8534,1.0,1.0,1.0,0.9707
185.66.250.45,185.71.48.172,2,0.2,0.8533,1.0,1.0,1.0,0.9707
103.162.168.7,103.23.1.181,3,0.1875,0.9608,1.0,1.0,1.0,0.9703
103.132.119.217,103.65.135.78,4,0.2,0.9199,1.0,1.0,0.9091,0.9703
103.33.209.206,103.35.203.217,3,0.1875,0.9604,1.0,1.0,1.0,0.9702
103.115.62.241,103.35.232.81,2,0.2,0.8498,1.0,1.0,1.0,0.97
185.102.224.81,185.193.22.31,3,0.2,0.9434,1.0,1.0,0.875,0.9699
103.189.61.125,103.83.238.205,3,0.1875,0.9563,1.0,1.0,1.0,0.9694
185.138.182.146,185.91.243.149,2,0.2,0.8463,1.0,1.0,1.0,0.9693
103.248.145.235,103.82.65.50,3,0.2,0.9203,1.0,1.0,0.9,0.9691
103.177.164.1,103.241.37.119,3,0.2143,0.9849,1.0,1.0,0.8143,0.9691
185.24.199.124,185.47.47.214,3,0.2,0.9284,1.0,1.0,0.8889,0.969
103.223.152.17,103.69.237.19,2,0.2,0.8447,1.0,1.0,1.0,0.9689
185.126.249.175,185.171.194.97,3,0.25,0.9385,1.0,1.0,0.875,0.9689
185.126.249.175,185.170.154.23,3,0.2308,0.8443,1.0,1.0,1.0,0.9689
185.138.225.178,185.34.38.82,2,0.2,0.8438,1.0,1.0,1.0,0.9688
185.128.177.196,185.37.128.174,3,0.2308,0.9377,1.0,1.0,0.875,0.9688
185.123.32.60,185.225.114.74,3,0.2,0.9264,1.0,1.0,0.8889,0.9686
103.32.13.28,103.81.159.161,3,0.2,0.9361,1.0,1.0,0.875,0.9685
185.123.239.128,185.208.14.213,3,0.1875,0.9505,1.0,1.0,1.0,0.9682
103.152.137.243,103.250.133.174,2,0.1818,0.9996,1.0,1.0,1.0,0.9681
185.195.179.177,185.25.75.49,2,0.1818,0.9984,1.0,1.0,1.0,0.9679
103.120.233.250,103.32.220.155,4,0.1905,0.922,1.0,1.0,1.0,0.9677
185.232.49.204,185.237.182.122,3,0.2308,0.9453,1.0,1.0,0.8571,0.9676
185.107.45.182,185.232.244.135,2,0.1818,0.9963,1.0,1.0,1.0,0.9674
103.199.29.155,103.99.155.148,3,0.1875,0.9429,1.0,1.0,1.0,0.9667
185.56.177.59,185.94.249.242,3,0.1875,0.9506,1.0,1.0,0.9889,0.9666
185.133.190.107,185.34.38.82,2,0.1818,0.9914,1.0,1.0,1.0,0.9665
185.108.38.96,185.69.150.135,2,0.1818,0.9891,1.0,1.0,1.0,0.966
185.23.173.126,185.92.44.231,2,0.2,0.9534,1.0,1.0,0.8333,0.9657
185.168.91.211,185.59.2.249,2,0.2222,0.8282,1.0,1.0,1.0,0.9656
185.146.249.18,185.51.120.29,4,0.25,0.9013,1.0,1.0,0.9,0.9653
185.168.124.145,185.213.252.147,2,0.1818,0.9858,1.0,1.0,1.0,0.9653
185.136.245.43,185.190.204.40,2,0.1818,0.9856,1.0,1.0,1.0,0.9653
185.52.220.178,185.78.105.29,4,0.2667,0.9008,1.0,1.0,0.9,0.9652
103.195.174.81,103.86.24.147,2,0.1818,0.9853,1.0,1.0,1.0,0.9652
185.127.163.234,185.161.30.79,2,0.1818,0.9831,1.0,1.0,1.0,0.9648
185.109.79.251,185.92.44.231,3,0.3,0.9305,1.0,1.0,0.8571,0.9647
103.126.157.44,103.21.11.254,4,0.1818,0.9827,1.0,1.0,1.0,0.9647
103.31.33.130,103.95.210.51,3,0.1875,0.9318,1.0,1.0,1.0,0.9645
103.109.133.196,103.32.150.3,3,0.2,0.9886,1.0,1.0,0.7778,0.9644
185.112.102.38,185.191.246.23,3,0.2727,0.9472,1.0,1.0,0.8333,0.9644
185.115.132.188,185.54.8.26,2,0.1818,0.9807,1.0,1.0,1.0,0.9643
185.208.14.213,185.56.4.36,3,0.1875,0.9307,1.0,1.0,1.0,0.9643
185.123.32.60,185.236.137.183,3,0.2727,0.821,1.0,1.0,1.0,0.9642
103.138.71.208,103.67.39.88,3,0.1875,0.9304,1.0,1.0,1.0,0.9642
185.135.125.129,185.170.154.23,3,0.1875,0.93,1.0,1.0,1.0,0.9641
103.28.80.157,103.97.237.124,3,0.2143,0.9867,1.0,1.0,0.7778,0.964
103.144.54.179,103.231.118.228,2,0.1818,0.9966,1.0,1.0,0.9762,0.9639
185.110.252.98,185.216.161.47,2,0.2222,0.9429,1.0,1.0,0.8333,0.9636
185.161.30.79,185.190.38.205,3,0.2308,0.8931,1.0,1.0,0.9,0.9636
185.212.43.140,185.59.2.249,2,0.1818,0.9769,1.0,1.0,1.0,0.9636
103.104.231.141,103.69.182.75,2,0.1818,0.9765,1.0,1.0,1.0,0.9635
185.128.177.196,185.133.190.107,3,0.25,0.9104,1.0,1.0,0.875,0.9633
103.130.150.125,103.245.242.240,4,0.1818,0.9758,1.0,1.0,1.0,0.9633
185.137.235.20,185.36.49.229,3,0.1875,0.9259,1.0,1.0,1.0,0.9633
103.211.101.38,103.32.124.186,3,0.2,0.9081,1.0,1.0,0.875,0.9629
103.150.17.75,103.54.233.152,2,0.1818,0.9734,1.0,1.0,1.0,0.9629
103.162.168.7,103.62.140.134,4,0.1905,0.9544,1.0,1.0,0.9231,0.9627
185.146.30.99,185.239.18.230,2,0.1818,0.9719,1.0,1.0,1.0,0.9626
185.197.152.251,185.33.70.93,3,0.2308,0.9069,1.0,1.0,0.875,0.9626
103.104.231.141,103.16.74.125,2,0.1818,0.971,1.0,1.0,1.0,0.9624
185.151.101.50,185.59.2.249,2,0.1818,0.9705,1.0,1.0,1.0,0.9623
185.225.114.74,185.236.137.183,3,0.2727,0.8946,1.0,1.0,0.8889,0.9623
103.128.72.4,103.197.173.151,4,0.1905,0.9517,1.0,1.0,0.9231,0.9621
185.190.82.251,185.213.111.11,2,0.1818,0.9681,1.0,1.0,1.0,0.9618
185.174.131.242,185.190.3.194,2,0.2857,0.8454,1.0,1.0,0.95,0.9616
103.188.48.65,103.230.9.88,3,0.2,0.8466,1.0,1.0,0.948,0.9615
185.208.80.176,185.69.150.135,3,0.2308,0.8059,1.0,1.0,1.0,0.9612
103.213.55.196,103.49.194.187,3,0.3333,0.9293,1.0,1.0,0.8333,0.9609
185.239.18.230,185.70.28.9,3,0.3333,0.9293,1.0,1.0,0.8333,0.9609
185.71.48.214,185.94.249.242,3,0.1875,0.9215,1.0,1.0,0.9889,0.9608
103.19.189.37,103.77.22.103,3,0.1875,0.9388,1.0,1.0,0.9659,0.9608
185.228.31.57,185.91.243.149,2,0.2,0.804,1.0,1.0,1.0,0.9608
185.113.179.151,185.163.158.177,3,0.1875,0.9131,1.0,1.0,1.0,0.9607
185.126.45.143,185.36.49.229,3,0.1875,0.9875,1.0,1.0,0.9,0.9606
103.237.14.29,103.66.229.238,3,0.1875,0.9959,1.0,1.0,0.8889,0.9606
103.19.153.47,103.194.81.101,3,0.2143,0.9381,1.0,1.0,0.8182,0.9604
185.193.212.137,185.234.182.178,3,0.1875,0.9199,1.0,1.0,0.9889,0.9604
185.137.23.21,185.56.54.78,2,0.1818,0.9608,1.0,1.0,1.0,0.9603
103.189.167.34,103.31.33.130,3,0.1875,0.9102,1.0,1.0,1.0,0.9602
185.154.213.32,185.190.179.136,3,0.2308,0.9262,1.0,1.0,0.8333,0.9602
103.230.39.42,103.92.91.230,4,0.1905,0.9519,1.0,1.0,0.9091,0.9601
185.209.140.250,185.232.49.204,3,0.2727,0.907,1.0,1.0,0.8571,0.96
185.133.190.107,185.216.72.51,2,0.2,0.9488,1.0,1.0,0.8,0.9598
185.39.132.50,185.61.207.187,2,0.1818,0.9564,1.0,1.0,1.0,0.9595
185.136.245.43,185.190.38.205,3,0.1875,0.9818,1.0,1.0,0.9,0.9595
185.180.6.76,185.48.188.123,2,0.2,0.8908,1.0,1.0,0.875,0.9594
103.128.103.152,103.243.147.230,3,0.1765,0.9996,1.0,1.0,1.0,0.9587
185.145.82.155,185.52.220.178,3,0.2143,0.8873,1.0,1.0,0.875,0.9587
103.126.192.149,103.133.160.187,2,0.1818,0.9704,1.0,1.0,0.9762,0.9587
185.158.239.34,185.94.116.159,3,0.1875,0.9858,1.0,1.0,0.8889,0.9586
185.61.137.78,185.61.61.30,2,0.1818,0.9518,1.0,1.0,1.0,0.9585
185.61.207.187,185.70.87.52,2,0.1818,0.951,1.0,1.0,1.0,0.9584
103.49.110.249,103.54.233.152,3,0.2143,0.7906,1.0,1.0,1.0,0.9581
103.178.254.75,103.185.205.52,4,0.1905,0.927,1.0,1.0,0.9286,0.958
185.213.138.2,185.39.132.50,2,0.1818,0.948,1.0,1.0,1.0,0.9578
185.133.190.107,185.180.176.122,2,0.1818,0.9475,1.0,1.0,1.0,0.9577
185.163.158.177,185.225.60.214,3,0.2727,0.9758,1.0,1.0,0.75,0.9577
103.166.117.46,103.186.181.231,4,0.1818,0.9473,1.0,1.0,1.0,0.9576
103.43.53.168,103.96.174.177,3,0.1875,0.9856,1.0,1.0,0.875,0.9565
185.216.72.51,185.59.129.57,2,0.1818,0.9967,1.0,1.0,0.925,0.9563
103.186.155.240,103.245.179.120,3,0.1765,0.9875,1.0,1.0,1.0,0.9563
185.237.182.122,185.96.245.164,3,0.1875,0.9656,1.0,1.0,0.9,0.9562
185.202.138.74,185.216.117.28,2,0.1818,0.9391,1.0,1.0,1.0,0.956
185.193.212.137,185.71.48.214,3,0.1875,0.8972,1.0,1.0,0.9889,0.9559
103.166.253.131,103.217.137.21,3,0.1765,0.9856,1.0,1.0,1.0,0.9559
103.195.174.81,103.213.164.244,2,0.1818,0.9382,1.0,1.0,1.0,0.9558
185.168.124.145,185.190.82.251,2,0.1818,0.937,1.0,1.0,1.0,0.9556
103.19.118.100,103.199.138.55,2,0.1818,0.9362,1.0,1.0,1.0,0.9554
185.203.219.110,185.53.230.203,3,0.1765,0.9831,1.0,1.0,1.0,0.9554
103.123.46.79,103.241.81.141,2,0.1818,0.9355,1.0,1.0,1.0,0.9553
185.34.156.165,185.36.6.224,2,0.1818,0.9349,1.0,1.0,1.0,0.9552
103.173.239.190,103.204.253.139,3,0.2143,0.8832,1.0,1.0,0.8571,0.9552
185.114.48.53,185.225.114.74,3,0.1875,0.9688,1.0,1.0,0.8889,0.9552
185.174.131.242,185.180.176.122,2,0.2222,0.9253,1.0,1.0,0.8,0.9551
185.134.139.250,185.45.210.149,3,0.2143,0.9415,1.0,1.0,0.7778,0.955
185.52.113.67,185.57.217.192,2,0.1818,0.9338,1.0,1.0,1.0,0.9549
185.107.45.182,185.235.141.114,2,0.1818,0.9323,1.0,1.0,1.0,0.9546
185.203.219.110,185.75.184.50,3,0.1765,0.9782,1.0,1.0,1.0,0.9545
103.145.251.25,103.243.147.230,3,0.1765,0.9781,1.0,1.0,1.0,0.9544
185.134.139.250,185.86.42.149,3,0.1875,0.9713,1.0,1.0,0.8778,0.9541
103.151.131.143,103.188.140.35,3,0.2308,0.8954,1.0,1.0,0.8333,0.9541
185.57.128.39,185.57.91.73,2,0.1818,0.9289,1.0,1.0,1.0,0.954
185.150.72.38,185.44.201.32,2,0.1818,0.928,1.0,1.0,1.0,0.9538
185.138.182.146,185.151.101.50,2,0.1818,0.928,1.0,1.0,1.0,0.9538
185.112.25.137,185.235.206.122,3,0.2727,0.8756,1.0,1.0,0.8571,0.9537
185.123.253.125,185.132.134.169,2,0.1818,0.9254,1.0,1.0,1.0,0.9533
185.215.4.136,185.36.6.224,2,0.1818,0.9254,1.0,1.0,1.0,0.9533
103.199.29.155,103.217.189.160,3,0.1765,0.9721,1.0,1.0,1.0,0.9532
103.66.40.13,103.95.136.9,4,0.1739,0.9982,1.0,1.0,0.9945,0.9532
185.236.137.183,185.24.123.90,3,0.3,0.7646,1.0,1.0,1.0,0.9529
103.43.97.169,103.66.229.238,3,0.1875,0.9559,1.0,1.0,0.8889,0.9526
185.172.217.254,185.213.111.11,2,0.1818,0.9204,1.0,1.0,1.0,0.9523
185.161.30.79,185.220.29.20,2,0.1818,0.9207,1.0,1.0,1.0,0.9523
103.122.63.237,103.47.15.168,2,0.1818,0.9197,1.0,1.0,1.0,0.9521
103.182.192.62,103.49.110.249,3,0.2,0.854,1.0,1.0,0.875,0.952
185.103.40.78,185.98.44.203,2,0.1818,0.9189,1.0,1.0,1.0,0.952
103.143.187.162,103.44.29.219,3,0.1765,0.9653,1.0,1.0,1.0,0.9519
185.110.252.98,185.93.143.185,2,0.2222,0.8839,1.0,1.0,0.8333,0.9518
185.134.224.144,185.233.163.121,4,0.3333,0.9462,1.0,1.0,0.75,0.9517
103.22.232.79,103.49.110.249,3,0.1875,0.9504,1.0,1.0,0.8889,0.9515
185.161.30.79,185.48.188.123,2,0.25,0.944,1.0,1.0,0.75,0.9513
185.114.205.173,185.149.85.166,2,0.1818,0.9149,1.0,1.0,1.0,0.9512
